label,lat,lon
compNorth,42.6682837222,-83.2193403028,
compNorth,42.6681206444,-83.2193606083,
compNorth,42.66809863885,-83.2193606083,
compNorth,42.6680766333,-83.2193606083,
compNorth,42.6679277056,-83.2193276417,
compNorth,42.6679817056,-83.2193316417,
compNorth,42.66794,-83.2189,
compNorth,42.6681268,-83.218887,
compSouth,42.6679277056,-83.2193276417,
compSouth,42.6680766333,-83.2193591583,
compSouth,42.6681206444,-83.2193606083,
compSouth,42.6682837222,-83.2193403028,
compSouth,42.668290020,-83.2189080,
compSouth,42.6681268,-83.218887,
practice,35.2104852,-97.44193,
practice,35.210483,-97.44207,
practice,35.2104841,-97.4421986,
practice,35.2104819,-97.4423302,
practice,35.2105455,-97.4423329,
practice,35.2106096,-97.4423347,
practice,35.2106107,-97.4422153,
practice,35.2106078,-97.4421059,
practice,35.2105575,-97.4420365,
practice,35.2104852,-97.44193,
simulationNorth,35.19505,-97.43823,
simulationNorth,35.19492,-97.43824,
simulationNorth,35.19485,-97.43824,
simulationNorth,35.19471,-97.43823,
simulationSouth,35.19471,-97.43823,
simulationSouth,35.19492,-97.43824,
simulationSouth,35.19485,-97.43824,
simulationSouth,35.19505,-97.43823,
